User-generated using "barnfire_functions.py"
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.2589522892e+07 resonance
4 1.1321149047e+07 resonance
5 1.0180561793e+07 resonance
6 9.1548868391e+06 resonance
7 8.2325469599e+06 resonance
8 7.4031313154e+06 resonance
9 6.6572779408e+06 resonance
10 5.9865680741e+06 resonance
11 5.3834311297e+06 resonance
12 4.8410592463e+06 resonance
13 4.3533304432e+06 resonance
14 3.9147395195e+06 resonance
15 3.5203359142e+06 resonance
16 3.1656678272e+06 resonance
17 2.8467319701e+06 resonance
18 2.5599283790e+06 resonance
19 2.3020197807e+06 resonance
20 2.0700950520e+06 resonance
21 1.8615363605e+06 resonance
22 1.6739896161e+06 resonance
23 1.5053378996e+06 resonance
24 1.3536775677e+06 resonance
25 1.2172967662e+06 resonance
26 1.0946561075e+06 resonance
27 9.8437129466e+05 resonance
28 8.8519749634e+05 resonance
29 7.9601529604e+05 resonance
30 7.1581805659e+05 resonance
31 6.4370055788e+05 resonance
32 5.7884877924e+05 resonance
33 5.2053071125e+05 resonance
34 4.6808809325e+05 resonance
35 4.2092898326e+05 resonance
36 3.7852107649e+05 resonance
37 3.4038569698e+05 resonance
38 3.0609239460e+05 resonance
39 2.7525408636e+05 resonance
40 2.4752268725e+05 resonance
41 2.2258518125e+05 resonance
42 2.0016008821e+05 resonance
43 1.7999428662e+05 resonance
44 1.6186015656e+05 resonance
45 1.4555301046e+05 resonance
46 1.3088878266e+05 resonance
47 1.1770195183e+05 resonance
48 1.0584367265e+05 resonance
49 9.5180095704e+04 resonance
50 8.5590856698e+04 resonance
51 7.6967717842e+04 resonance
52 6.9213346125e+04 resonance
53 6.2240214679e+04 resonance
54 5.5969614824e+04 resonance
55 5.0330767651e+04 resonance
56 4.5260025109e+04 resonance
57 4.0700151588e+04 resonance
58 3.6599677867e+04 resonance
59 3.2912320169e+04 resonance
60 2.9596457729e+04 resonance
61 2.6614663009e+04 resonance
62 2.3933279230e+04 resonance
63 2.1522040483e+04 resonance
64 1.9353730097e+04 resonance
65 1.7403873436e+04 resonance
66 1.5650461646e+04 resonance
